status,problem,source
421,421A - Pasha and Hamsters,"R = lambda :[ int ( x )   for  x  in  input (). split ()] n , a , b = R () x =[ 2 ]* n for  c  in  R (): x [ c - 1 ]= 1 print (* x )"
424,424A - Squats,"n = int ( input ()) a = input () x = a . count ( 'x' ) if   2 * x > n : a = a . replace ( 'x' , 'X' , x - n // 2 ) else : a = a . replace ( 'X' , 'x' , n // 2 - x ) print ( abs ( 2 * x - n )// 2 ) print ( a )"
425,425A - Sereja and Swaps,"read_line  =   lambda :   [ int ( i )   for  i  in  input (). split ()] n ,  k  =  read_line () x  =  read_line () print ( max ( sum ( sorted ( x [ l : r ]   +  sorted ( x [: l ]   +  x [ r :])[- k :])[ l - r :])   for  l  in  range ( n )   for  r  in  range ( l  +   1 ,  n  +   1 )))"
426,426A - Sereja and Mugs,"i = lambda : map ( int , input (). split ()) _ , b = i (); a =[* i ()] print ( 'YNEOS' [ b < sum ( a )- max ( a ):: 2 ])"
427,427A - Police Recruits,"input (); k = 0 for  i  in   ( list ( map ( int , input (). split ()))[::- 1 ]):     k = min ( 0 , k + i ) print (- k )"
429,429A - Xor-tree,"n  =  int ( input ()) p  =   [[]   for  i  in  range ( n  +   1 )] for  i  in  range ( n  -   1 ):     a ,  b  =  map ( int ,  input (). split ())     p [ a ]. append ( b )     p [ b ]. append ( a ) u ,  v  =   ' '   +  input ()[::   2 ],   ' '   +  input ()[::   2 ] s ,  q  =   [( 1 ,   0 ,   0 ,   0 )],   [] while  s :     a ,  k ,  i ,  j  =  s . pop ()      if  k :          if  i  !=   ( u [ a ]   !=  v [ a ]):             q . append ( a )             i  =   1   -  i      else :          if  j  !=   ( u [ a ]   !=  v [ a ]):             q . append ( a )             j  =   1   -  j     k  =   1   -  k      for  b  in  p [ a ]:         p [ b ]. remove ( a )         s . append (( b ,  k ,  i ,  j )) print ( len ( q )) print ( '\n' . join ( map ( str ,  q )))"
430,430A - Points and Segments (easy),"input () P = list ( map ( int , input (). split ())) for  a , b  in  sorted ([[ P . index ( p ), i % 2 ] for  i , p  in  enumerate ( sorted ( P ))]): print ( b )"
431,431A - Black Square,"a =[ 0 ,* map ( int , input (). split ())] print ( sum ( a [ int ( x )] for  x  in  input ()))"
432,432A - Choosing Teams,"P = lambda : map ( int , input (). split ()) _ , k = P () print ( sum ( x <= 5 - k  for  x  in  P ())// 3 )"
433,433A - Kitahara Haruki's Gift,"a =[* open ( 0 )][ 1 ]. split () a , b =[ a . count ( '100' ), a . count ( '200' )] print ( 'YNEOS' [( a + 2 * b )% 2   or  b % 2   and  a < 2 :: 2 ])"
435,435A - Queue on Bus Stop,"I = lambda : map ( int , input (). split ()) n , m = I () a = r = 0 for  x  in  I ():   a += x    if  a >= m :     r += 1     a =[ x , 0 ][ a == m ] r += a > 0 print ( r )     "
436,436A - Feed with Candy,"def  solve  (  p ,  n ,  x ,  t ,  h ,  m  ):     used ,  xx ,  ans  =   [ 0 ]   *  n ,  x ,   0      while   (   True   ):         k  =   - 1          for  i  in  range (  n  ):                if   (  used [ i ]   ==   0   )   and   (  t [ i ]   ==  p  )   and   (  h [ i ]   <=  xx  )   and   (   (  k  ==   - 1   )   or   (  m [ i ]   >  m [ k ]   )   ):  k  =  i          if   (  k  ==   - 1   ):   break         ans  +=   1         xx  +=  m [ k ]         used [ k ]   =   1         p  =  p  ^   1      return  ans      n ,  x  =  map (  int ,  input (). split ()   ) t ,  h ,  m  =   [ 0 ]   *  n ,   [ 0 ]   *  n ,   [ 0 ]   *  n for  i  in  range (  n  ):   t [ i ],  h [ i ],  m [ i ]   =  map (  int ,  input (). split ()   ) print   (  max (  solve (   0 ,  n ,  x ,  t ,  h ,  m  ),  solve (   1 ,  n ,  x ,  t ,  h ,  m  )   )   )"
437,437A - The Child and Homework,"q ,  t  =   0 ,  sorted ([( len ( input ())   -   2 ,  i )   for  i  in   'ABCD' ]) if   2   *  t [ 0 ][ 0 ]   <=  t [ 1 ][ 0 ]:  q  +=   1 if  t [ 3 ][ 0 ]   >=   2   *  t [ 2 ][ 0 ]:  q  +=   2 print ([ 'C' ,  t [ 0 ][ 1 ],  t [ 3 ][ 1 ],   'C' ][ q ])"
439,"439A - Devu, the Singer and Churu, the Joker","i = lambda : map ( int , input (). split ()); n , d = i (); d -= sum ( i ()); print ([ d // 5 ,- 1 ][ d < 10 *~- n ])"
440,440A - Forgotten Episode,"i = input ; n = int ( i ()) print (( n * n + n )// 2 - sum ( map ( int , i (). split ())))"
441,441A - Valera and Antique Items,"n , v = map ( int , input (). split ()) a =[ i + 1   for  i  in  range ( n )   if  min ( map ( int , input (). split ()[ 1 :]))< v ] print ( len ( a )) print (* a )"
442,442A - Borya and Hanabi,"input () p  =   {( 1   <<   'RGBYW' . index ( c ))   +   ( 1   <<  int ( k )   +   4 )   for  c ,  k  in  input (). split ()} print ( min ( bin ( t ). count ( '1' )   for  t  in  range ( 1024 )   if  len ({ t  &  q  for  q  in  p })   ==  len ( p )))"
443,443A - Anton and Letters,"print ( len ( set ( input ()+ ', ' ))- 4 )"
444,444A - DZY Loves Physics,"R  =   lambda : map ( int ,  input (). split ()) ans  =   0 n ,  m  =  R () F  =  list ( R ()) for  i  in  range ( m ): 	a ,  b ,  x  =  R () 	ans  =  max ( ans ,   ( F [ a  -   1 ]+  F [ b  -   1 ])   /  x ) print ( ans )"
445,445A - DZY Loves Chessboard,"n , m = map ( int , input (). split ()) a =[ 'W' , 'B' ] for  i  in  range ( n ): 	s = list ( input ()) 	 for  j  in  range ( m ): 		 if  s [ j ]== '.' : 			s [ j ]= a [( i + j )% 2 ] 	 print ( '' . join ( s ))"
446,446A - DZY Loves Sequences,"n  =  int ( input ()) a  =   [ int ( i )   for  i  in  input (). split ()] l , r  =   [ 1 ]* n ,[ 1 ]* n   for  i  in  range ( 1 , n ):      if  a [ i - 1 ]< a [ i ]:  l [ i ]+= l [ i - 1 ]   for  i  in  range ( n - 2 , 0 ,- 1 ):      if  a [ i + 1 ]> a [ i ]:  r [ i ]+= r [ i + 1 ]   ans  =  max ( l ) if  ans < n :  ans += 1 for  i  in  range ( 1 , n - 1 ):      if  a [ i - 1 ]+ 1 < a [ i + 1 ]:  ans = max ( ans , l [ i - 1 ]+ r [ i + 1 ]+ 1 ) print ( ans )"
447,447A - DZY Loves Hash,"p , n = map ( int , input (). split ()) r , s = 0 ,{ p } while  r < n :   x = int ( input ())% p    if  x  in  s : break   r += 1 ; s |={ x } print ([- 1 , r + 1 ][ r < n ])"
448,448A - Rewards,"i = lambda  k :-(- sum ( map ( int , input (). split ()))// k ) print ( 'YNEOS' [ i ( 5 )+ i ( 10 )> i ( 1 ):: 2 ])"
449,449A - Jzzhu and Chocolate,"n , m , k =[ int ( s )   for  s  in  input (). split ()] n , m = max ( n , m ), min ( n , m ) if  n + m - 2 < k : print (- 1 ) elif  n - 1 < k :      print ( m //( k - n + 2 )) elif  m - 1 < k : print ( n //( k + 1 )* m ) else :      print ( max ( n //( k + 1 )* m , m //( k + 1 )* n ))"
450,450A - Jzzhu and Children,"n , m = map ( int , input (). split ()) a = list (( int ( i )- 1 )// m  for  i  in  input (). split ()) print ( n - a [::- 1 ]. index ( max ( a )))"
451,451A - Game With Sticks,"print ( 'MAaklsvhiakta' [ min ( map ( int , input (). split ()))% 2 :: 2 ])"
452,452A - Eevee,"import  re input () print ( next ( filter ( re . compile ( input ()[:- 3 ]   +   '$' ). match ,   [ 'vapor' ,   'jolt' ,   'flar' ,   'esp' ,   'umbr' ,   'leaf' ,   'glac' ,   'sylv' ]))   +   'eon' )"
453,453A - Little Pony and Expected Maximum,"m , n = map ( int , input (). split ()) print ( m - sum (( i / m )** n  for  i  in  range ( m )))"
454,454A - Little Pony and Crystal Mine,n = int ( input ()) for  k  in  range ( n ):   l = abs ( n // 2 - k ); print ( l * '*' +(( n // 2 - l )* 2 + 1 )* 'D' + l * '*' )
455,455A - Boredom,"input () d =[ 0 ]* 100001 for  x  in  map ( int , input (). split ()):     d [ x ]+= x a = b = 0 for  i  in  d :     a , b = max ( a , i + b ), a print ( a )"
456,456A - Laptops,"n = int ( input ()) a = 'Poor Alex' for  i  in  range ( n ):     b , c = map ( int , input (). split ())      if  b < c : a = 'Happy Alex' print ( a )"
457,458A - Golden System,"n = int ( input ()) a = 'Poor Alex' for  i  in  range ( n ):     b , c = map ( int , input (). split ())      if  b < c : a = 'Happy Alex' print ( a )"
458,458A - Golden System,def  norm ( d ):     res  =   [ '0' ]      for  c  in  list ( d ):         res . append ( c )         i  =  len ( res )   -   1          while  i  >   1   and  res [ i  -   2 ]   ==   '0'   and  res [ i  -   1 ]   ==   '1'   and  res [ i ]   ==   '1' :             res [ i  -   2 ]   =   '1'             res [ i  -   1 ]   =   '0'             res [ i ]   =   '0'             i  -=   2      return   '' . join ( res ). lstrip ( '0' )   a  =  norm ( input ()) b  =  norm ( input ())   if  a  ==  b :      print ( '=' ) elif  len ( a )   >  len ( b )   or  len ( a )   ==  len ( b )   and  a  >  b :      print ( '>' ) else :      print ( '<' )
459,459A - Pashmak and Garden,"a , b , c , d = map ( int , input (). split ()) l = abs ( a - c ); m = abs ( b - d ) if  a == c :   print ( a + m , b , c + m , d ) elif  b == d :   print ( a , b + l , c , d + l ) elif  l != m :   print (- 1 ) else :   print ( a , d , c , b )"
460,460A - Vasya and Socks,"a , b = map ( int , input (). split ()); print (( a - 1 )//( b - 1 )+ a )"
461,461A - Appleman and Toastman,"n = input (); l = sorted ( map ( int , input (). split ())) print ( sum ([ x *( i + 2 )   for  i , x  in  enumerate ( l )])- l [- 1 ])"
462,462A - Appleman and Easy Task,"X  =   '' for  i  in  range ( int ( input ())):     X += input () print ( ""YES""   if  X == X [::- 1 ]   else   ""NO"" )"
463,463A - Caisa and Sugar,"r = lambda : map ( int , input (). split ()) n , s = r () ans =- 1 s *= 100 while  n :  n -= 1  x , y = r ()  x = x * 100 + y   if  x <= s :   ans = max ( ans ,( s - x )% 100 ) print ( ans )"
464,464A - No to Palindromes!,"def  trans ( c ):    return  chr ( ord ( c )   +   1 )   n ,  p  =  list ( map ( int ,  input (). split ())) s  =  list ( input ()) s [ n - 1 ]   =  trans ( s [ n - 1 ])   i  =  n  -   1 while  i  >=   0   and  i  <  n :    if  ord ( s [ i ])   >=  ord ( 'a' )   +  p :     s [ i ]   =   'a'     i  -=   1     s [ i ]   =  trans ( s [ i ])    elif  i  >   0   and  s [ i ]   ==  s [ i - 1 ]   or  i  >   1   and  s [ i ]   ==  s [ i - 2 ]:     s [ i ]   =  trans ( s [ i ])    else :     i  +=   1 else :    print ( ""NO""   if  i  <   0   else   """" . join ( s ))   "
465,465A - inc ARG,input () print (( input ()[:- 1 ]   +   '0' ). index ( '0' )   +   1 )
466,466A - Cheap Travel,"n , m , a , b = map ( int , input (). split ()) print ( min ( n * a ,- n // m *- b , n // m * b + n % m * a ))"
467,467A - George and Accommodation,"print ( sum ( eval ( input (). replace ( ' ' , '-' ))<- 1for  _  in   ' ' * int ( input ())))"
468,468A - 24 Game,"n = int ( input ()) if  n <= 3 : exit ( print ( ""NO"" )) if  n % 2 :    print ( ""YES\n5 + 1 = 6\n6 - 3 = 3\n2 * 4 = 8\n8 * 3 = 24"" )    for  i  in  range ( 6 , n , 2 ):      print ( i + 1 , ""-"" , i , ""="" , 1 )      print ( ""24 * 1 = 24"" ) else :    print ( ""YES\n2 * 3 = 6\n6 * 4 = 24\n24 * 1 = 24"" )    for  i  in  range ( 5 , n , 2 ):      print ( i + 1 , ""-"" , i , ""="" , 1 )      print ( ""24 * 1 = 24"" )"
469,469A - I Wanna Be the Guy,"a = input ; print ( ""IO hb,e cmoym ek etyhbeo agrudy!."" [ int ( a ())> len ( set ( a (). split ()[ 1 :]+ a (). split ()[ 1 :])):: 2 ])"
471,471A - MUH and Sticks,"a  =  input (). split () k  =   [ a . count ( c )   for  c  in  a ] print ((( 'Elephant' , 'Bear' )[ 1   in  k ], 'Alien' )[ max ( k )   <   4 ])"
472,472A - Design Tutorial: Learn from Math,"i = int ( input ()); d = i % 2 + 8 ; print ( d , i - d )"
474,474A - Keyboard,"s = input (); a = ""qwertyuiopasdfghjkl;zxcvbnm,./"" for  l  in  input (): print ( a [ a . index ( l )+[ 1 ,- 1 ][ s == 'R' ]], end = '' )"
475,475A - Bayan Bus,"n = int ( input ()) s =[ '+------------------------+' ] d = '|' + '#O' [ n > 2 ]+ '.' * 23 + '|' if  n > 2 : n -= 1 for  i  in  range ( 3 ): x = n // 3 +( n % 3 > i ); s +=[ '|' +( '.' . join ( 'O' * x + '#' *( 11 - x )))] s . insert ( 3 , d ) s +=[ s [ 0 ]] s [ 1 ]+= '.|D|)' s [ 2 ]+= '.|.|' s [ 4 ]+= '.|.|)' print ( '\n' . join ( s ))"
476,476A - Dreamoon and Stairs,"n , m = map ( int , input (). split ()) a = n - n // 2 print ([ a +(- a )% m ,- 1 ][ n < m ])"
478,478A - Initial Bet,"s = sum ( map ( int , input (). split ())) print ([ s // 5 ,- 1 ][ s % 5 > 0   or  s < 1 ])"
479,479A - Expression,"exec ( 'a,b,c=' + 'int(input()),' * 3 ); print ( max ( a + b + c , a * b * c ,( a + b )* c , a *( b + c )))"
483,483A - Counterexample,"l , r = map ( int , input (). split ()) if  l % 2 :  l += 1 if  l + 2 > r :   print (- 1 ) else :   print ( l , l + 1 , l + 2 )"
484,484A - Bits,"for  i  in  range ( int ( input ())):  l , r = map ( int , input (). split ())   while ( l |( l + 1 )<= r ):  l |= l + 1   print ( l )"
485,485A - Factory,"a , m = map ( int , input (). split ()) print ([ ""Yes"" , ""No"" ][( a << 17 )% m > 0 ])"
486,486A - Calculating Function,n = int ( input ()); print ( n // 2 - n % 2 * n )
487,487A - Fight the Monster,"R = lambda : map ( int , input (). split ()) yH , yA , yD = R () mH , mA , mD = R () h , a , d = R () Q = 10 ** 20 for  A  in  range ( max ( 0 , mD - yA + 1 ), max ( 0 , mH + mD - yA )+ 1 ):   for  D  in  range ( max ( 0 , mA - yD )+ 1 ):   H = yH -(( mH + yA + A - mD - 1 )//( yA + A - mD ))* max ( 0 , mA - yD - D )   Q = min ( A * a + D * d + max ( 0 , h *( 1 - H )), Q ) print ( Q )"
488,488A - Giga Tower,n = int ( input ()) r = 1 while   '8'   not   in  str ( n + r ): r += 1 print ( r )
489,489A - SwapSort,"n = int ( input ()) a = list ( map ( int , input (). split ()))   print ( n - 1 ) for  i  in  range ( n - 1 ): 	m = i + a [ i :]. index ( min ( a [ i :])) 	 print ( i , m ) 	a [ i ], a [ m ]= a [ m ], a [ i ]"
490,490A - Team Olympiad,"input (); a =[[],[],[]] for  i , x  in  enumerate ( input (). split (), 1 ): a [ int ( x )- 1 ]+=[ i ] print ( min ( map ( len , a ))) for  x  in  zip (* a ): print (* x )"
491,491A - Up the hill,"a , b = int ( input ()), int ( input ()) print (*[* range ( b + 1 , a + b + 2 ),* range ( b , 0 ,- 1 )])"
492,492A - Vanya and Cubes,a = int ( input ()); i = 0 while ( a >= 0 ): i += 1 ; a -= i *( i + 1 )/ 2 print ( i - 1 )
493,493A - Vasya and Football,"I = input s =[ I (), I ()] d ={} for  _  in   '0' * int ( I ()): 	m , h , t , k = I (). split (); t = int ( t )*( 2 *( h == 'h' )- 1 ); a = d . get ( t , 0 ); d [ t ]=[ a + 1 , max ( a , 2 )][ k == 'r' ] 	 if  d [ t ]== 2 : print ( s [ t < 0 ], abs ( t ), m ); d [ t ]= 3"
495,495A - Digital Counter,"t , n =[ 2 , 7 , 2 , 3 , 3 , 4 , 2 , 5 , 1 , 2 ], int ( input ()) print ( t [ n // 10 ]* t [ n % 10 ])"
496,496A - Minimum Difficulty,"input () a =* map ( int , input (). split ()), print ( max (   max ( y - x  for  x , y  in  zip ( a , a [ 1 :])),   min ( z - x  for  x , _ , z  in  zip ( a , a [ 1 :], a [ 2 :]) )))"
499,499A - Watching a movie,"I = lambda : map ( int , input (). split ()) n , x = I () p , w = 0 , 0 for  _  in  range ( n ): 	l , r = I () 	 while  p < l - x : p += x 	w +=( r - p ); p = r print ( w )"
500,500A - New Year Transportation,"I = lambda : map ( int , input (). split ()) n , t = I () a = list ( I ()) c = 0 while  c < t - 1 : c += a [ c ] print ( 'YNEOS' [ c >= t :: 2 ])"
501,501A - Contest,"a , b , c , d = map ( int , input (). split ()) a = max ( 3 * a // 10 , a - a // 250 * c ) b = max ( 3 * b // 10 , b - b // 250 * d ) print ([[ 'Tie' , 'Misha' ][ a > b ], 'Vasya' ][ a < b ])"
505,505A - Mr. Kitayuta's Gift,a = input () for  i  in  range ( 26 ):      for  j  in  range ( len ( a )+ 1 ):         b = a [: j ]+ chr ( 97 + i )+ a [ j :]          if  b == b [::- 1 ]: print ( b ); exit () print ( 'NA' )
507,507A - Amr and Music,"R = lambda : map ( int , input (). split ()) n , k = R ();  l = sorted ( zip ( R (), range ( 1 , n + 1 )));  h  =   [] for  _ , i  in  l : 	k -= _ 	 if  k >= 0 :  h . append ( i ) print ( len ( h )); print (* h )"
508,508A - Pasha and Pixels,"R = lambda : map ( int , input (). split ()) n , m , k = R () N = 1024 g =[[ 0 ]* N  for  _  in  range ( N )] def  T ( r , c ):    return  g [ r ][ c ]   and  g [ r + 1 ][ c ]   and  g [ r ][ c + 1 ]   and  g [ r + 1 ][ c + 1 ] for  i  in  range ( k ):   r , c = R ()   g [ r ][ c ]= 1    if  T ( r - 1 , c - 1 )   or  T ( r - 1 , c )   or  T ( r , c - 1 )   or  T ( r , c ):      print ( i + 1 )      break else :    print ( 0 )"
509,509A - Maximum in Table,"print ([ 0 , 1 , 2 , 6 , 20 , 70 , 252 , 924 , 3432 , 12870 , 48620 ][ int ( input ())])"
510,510A - Fox And Snake,"n , m = map ( int , input (). split ()) for  i  in  range ( n ):      print ([ '#' * m , '.' *( m - 1 )+ '#' , '#' * m , '#' + '.' *( m - 1 )][ i % 4 ])"
513,513A - Game,"a , b ,* _ = map ( int , input (). split ()); print ( 'SFeicrosntd' [ a > b :: 2 ])"
514,514A - Chewbaсca and Number,"s =[ min ( int ( i ), 9 - int ( i ))   for  i  in  input ()] if  s [ 0 ]< 1 : s [ 0 ]= 9 print (* s , sep = '' )"
515,515A - Drazil and Date,"a , b , s = map ( int , input (). split ()); print ( 'YNEOS' [( a + b + s )% 2   or  abs ( a )+ abs ( b )> s :: 2 ])"
518,518A - Vitaly and Strings,"f = lambda  s :  f ( s [:- 1 ])+ 'a'   if  s [- 1 ]== 'z' else  s [:- 1 ]+ chr ( ord ( s [- 1 ])+ 1 ) s = f ( input ()) print (( 'No such string' , s )[ s < input ()])"
519,519A - A and B and Chess,"p  =  dict ( q = 9 ,  Q =- 9 ,  r = 5 ,  R =- 5 ,  b = 3 ,  B =- 3 ,  n = 3 ,  N =- 3 ,  p = 1 ,  P =- 1 ) s  =   0 for  i  in  range ( 8 ):      for  j  in  input ():          if  j  in  p :  s  +=  p [ j ] print ([ 'Draw' ,   'Black' ,   'White' ][( s  >   0 )   -   ( s  <   0 )])"
520,520A - Pangram,input (); print ( 'YNEOS' [ len ( set ( input (). upper ()))< 26 :: 2 ])
522,522A - Reposts,"d ={ 'polycarp' : 1 } for  _  in  range ( int ( input ())): a , b , c = input (). lower (). split (); d [ a ]= d [ c ]+ 1 print ( max ( d . values ()))"
523,"523A - Rotate, Flip and Zoom","I = input R = range w , h = map ( int , I (). split ()) t =[ I () for  _  in  R ( h )] for  r  in [[ t [ i ][ j ]* 2for  i  in  R ( h )] for  j  in  R ( w )]: s = '' . join ( r ); print ( s + '\n' + s )"
524,"524A - Возможно, всEзнаете этисEлюдей?","d ={} m , k = map ( int , input (). split ()) for  i  in  range ( m ):   a , b = map ( int , input (). split ())   d . setdefault ( a , set ()). add ( b )   d . setdefault ( b , set ()). add ( a ) for  x  in  sorted ( d ):   s =[]    for  y  in  sorted ( d ):      if  x == y  or  y  in  d [ x ]:   continue      if  len ( d [ x ]& d [ y ])* 100 >= k * len ( d [ x ]):  s +=[ str ( y )]    print ( str ( x )+ ':' , len ( s ), ' ' . join ( s ))"
525,525A - Vitaliy and Pie,"a =[* open ( 0 )][ 1 ] s ={} r = 0 for  x , y  in   [* zip ( a , a [ 1 :])][:: 2 ]:   s [ x . upper ()]= s . get ( x . upper (), 0 )+ 1    if  s . get ( y , 0 )> 0 : s [ y ]-= 1    else : r += 1 print ( r )"
526,526A - King of Thieves,"I = input R = range n = int ( I ()) s = I () print ([ 'no' , 'yes' ][ any ( max ( map ( len , s [ j :: i + 1 ]. split ( '.' )))> 4for  i  in  R ( n // 4 ) for  j  in  R ( i + 1 ))])"
527,527A - Playing with Paper,"a , b = map ( int , input (). split ()); k = 0 while  b : k += a // b ; a , b = b , a % b print ( k )"
534,534A - Exam,"n  =  int ( input ()) print (( n ,  n  -   1 )[( n  <   4 )   -   ( n  ==   1 )]) print (*( range ( n  -   1 ,   0 ,   - 2 ), '' )[ n  -   2   <   2 ],   *( range ( n ,   0 ,   - 2 )))"
535,535A - Tavas and Nafas,"a  =   [ 'zero' , 'one' , 'two' , 'three' , 'four' , 'five' , 'six' , 'seven' , 'eight' , 'nine' , 'ten' , 'eleven' , 'twelve' , 'thirteen' ,       'fourteen' , 'fifteen' , 'sixteen' , 'seventeen' , 'eighteen' , 'nineteen' ] b  =   [ 'twenty' , 'thirty' , 'forty' , 'fifty' , 'sixty' , 'seventy' , 'eighty' , 'ninety' ] n  =  int ( input ()) print ( a [ n ]   if  n  <   20   else  b [ n // 10 - 2 ]   +   ( ''   if  n  %   10 == 0   else   '-' + a [ n % 10 ]))"
538,538A - Cutting Banner,s = input () c = 'CODEFORCES' print ( 'NYOE S' [( any ( s . startswith ( c [: i ])   and  s . endswith ( c [ i :])   for  i  in  range ( 11 ))):: 2 ])
540,540A - Combination Lock,"i = lambda : map ( ord , input ()); i (); print ( sum ( min ( abs ( a - b ), 10 - abs ( b - a )) for  a , b  in  zip ( i (), i ())))"
544,544A - Set of Strings,"k ,  q ,  v ,  s  =  int ( input ()),  input (),   'YES' ,  set () for  ch  in  q :      if  k  ==   0   or  ch  in  s :         v  +=  ch      else :         v  +=   '\n'   +  ch         s . add ( ch )         k  -=   1 print ( 'NO'   if  k  else  v )"
545,545A - Toy Cars,"n = int ( input ()) a =[ i + 1   for  i  in  range ( n )   if   {* map ( int , input (). split ())}&{ 1 , 3 }<{ 1 }] print ( len ( a )) print (* a )"
546,546A - Soldier and Bananas,"k , n , w = map ( int , input (). split ()); print ( max ( 0 , w *( w + 1 )* k // 2 - n ))"
548,548A - Mike and Fax,"s , k = input (), int ( input ()) l = len ( s )// k u =[ s [ i :: l ]   for  i  in  range ( l )] print ([ ""NO"" , ""YES"" ][ u == u [::- 1 ]   and  l * k == len ( s )])"
549,549A - Face Detection,"n , m = map ( int , input (). split ()) a = list ( input ()   for  i  in  range ( n )) print ( sum ( sorted ( a [ i ][ j : j + 2 ]+ a [ i + 1 ][ j : j + 2 ])== sorted ( ""face"" )   for  i  in  range ( n - 1 )   for  j  in  range ( m - 1 )))"
550,550A - Two Substrings,"s = input () u = s . find ( 'AB' ); v = s . find ( 'BA' ) print ( 'YES' if   ( u + 1   and  s . find ( 'BA' , u + 2 )+ 1 )   or   ( v + 1   and  s . find ( 'AB' , v + 2 )+ 1 ) else 'NO' )"
551,551A - GukiZ and Contest,"n = input () l = list ( map ( int , input (). split ())) for  x  in  l :   print ( sorted ( l )[::- 1 ]. index ( x )+ 1 )"
552,552A - Vanya and Table,"r = 0 for  s  in [* open ( 0 )][ 1 :]:   a , b , c , d = map ( int , s . split ())   r +=( c - a + 1 )*( d - b + 1 ) print ( r )"
554,554A - Kyoya and Photobooks,print ( 25 * len ( input ())+ 26 )
555,555A - Case of Matryoshkas,"n , k = map ( int , input (). split ()) a = 0 for  _  in   ' ' * k :      * l ,= map ( int , input (). split ())      for  i  in  range ( 1 , l [ 0 ]):          if  l [ i ]== i  and  l [ i + 1 ]== i + 1 : a += 2 print ( 2 * n - k - 1 - a )"
556,556A - Case of the Zeros and Ones,print ( abs ( int ( input ())- 2 * input (). count ( '1' )))
557,557A - Ilya and Diplomas,"I = lambda : map ( int , input (). split ()) n = next ( I ()) a , b = I () c , d = I () f , e = I () x = min ( b , n - c - f ) y = min ( d , n - x - f ) print ( x , y , n - x - y )"
558,558A - Lala Land and Apple Trees,"n  =  int ( input ()) a  =   [[( 1000000 ,   0 )],   [( 100000 ,   0 )]] for  i  in  range ( n ):     x ,  y  =  map ( int ,  input (). split ())     a [ x  >   0 ]. append (( abs ( x ),  y )) print ( sum ( x [ 1 ]   +  y [ 1 ]   for  x ,  y  in  zip (* map ( sorted ,  a ))))"
560,560A - Currency System in Geraldion,input () print (( '1'   in  input (). split ())*- 2 + 1 )
567,567A - Lineland Mail,"n  =  int ( input ()) x  =  list ( map ( int  ,  input (). split ())) for  i  in  range ( n ):      print ( min ( abs ( x [ i ]- x [ i - 1 ]),  abs ( x [( i + 1 )% n ]- x [ i ])),  max ( x [- 1 ]- x [ i ],  x [ i ]- x [ 0 ]))"
568,568A - Primes or Palindromes?,"p ,  q  =  map ( int ,  input (). split ()) n  =   1200000 t  =   [ 0 ,  q ]   *   600000 for  i  in  range ( 3 ,   1096 ,   2 ):      if  t [ i ]:          for  j  in  range ( i  *  i ,  n ,  i ):  t [ j ]   =   0 t [ 1 ],  t [ 2 ]   =   - p ,  q  -  p for  i  in  range ( 3 ,   10 ):  t [ i ]   -=  p for  i  in  range ( 1 ,   1000 ):     u  =  str ( i )     v  =  u [::- 1 ]      for  j  in   '0123456789' :         k  =  int ( u  +  j  +  v )          if  k  <  n :  t [ k ]   -=  p     t [ int ( u  +  v )]   -=  p j  =  s  =   0 for  i ,  q  in  enumerate ( t ):     s  +=  q      if  s  <=   0 :  j  =  i print ( j )"
569,569A - Music,"t , s , q = map ( int , input (). split ()) res = 0 while  s < t : s *= q ; res += 1 print ( res )"
570,570A - Elections,"a , b = map ( int , input (). split ()); c =[ 0 ]* a for  i  in  range ( b ):  d = list ( map ( int , input (). split ())); c [ d . index ( max ( d ))]+= 1 print ( c . index ( max ( c ))+ 1 )"
571,571A - Lengthening Sticks,"#in the name of god #Mr_Rubick a , b , c , l = map ( int ,  input (). split ()) cnt =( l + 3 )*( l + 2 )*( l + 1 )// 3 for  i  in   ( a , b , c ):     s = 2 * i - a - b - c      for  x  in  range ( max ( 0 ,- s ), l + 1 ):         m  =  min ( s + x , l - x )         cnt -=( m + 1 )*( m + 2 ) print ( cnt // 2 )"
572,572A - Arrays,"z = lambda   : tuple ( map ( int , input (). split ())); s , s1 = z (); a , b = z (); print ( ""YES""   if  z ()[ a - 1 ]< z ()[- b ]   else   ""NO"" )"
573,573A - Bear and Poker,"input () a = 0 for  t  in  map ( int , input (). split ()):      while  t % 2 == 0 : t //= 2      while  t % 3 == 0 : t //= 3      if   not  a : a = t      elif  a != t : print ( 'No' ); exit () print ( 'Yes' )"
574,574A - Bear and Elections,"input () s = list ( map ( int , input (). split ())) k = 0 while  s [ 0 ]<= max ( s [ 1 :]):  s [ 1 + s [ 1 :]. index ( max ( s ))]-= 1  s [ 0 ]+= 1  k += 1 print ( k )"
576,576A - Vasya and Petya's Game,"n = int ( input ()) a = ' ' . join (( ' ' . join (( str ( i ** k ) for  k  in  range ( 1 , 11 ) if  i ** k <= n ))) for  i  in  range ( 2 , n + 1 ) if  all ( i % j > 0   for  j  in  range ( 2 , i ))) print ( len ( a . split ()), '\n' , a )"
577,577A - Multiplication Table,"n , x = map ( int , input (). split ()) print ( sum (( x % i == 0and  x / i <= n ) for  i  in  range ( 1 , n + 1 )))"
578,578A - A Problem about Polyline,"a , b = map ( int ,  input (). split ()) print   (- 1   if  b > a  else (( a + b )/ 2 )/(( a + b )//( 2 * b )))"
